Reports,No Finding,Enlarged Cardiomediastinum,Cardiomegaly,Lung Lesion,Lung Opacity,Edema,Consolidation,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
lateral view somewhat limited due to overlying motion artifact,1.0,,,,,,,,,,,,,
the lungs are low in volume,1.0,,,,,,,,,,,,,
there is no focal airspace consolidation to suggest pneumonia,1.0,,,,,,0.0,0.0,,,,,,
a 12-cm calcified granuloma just below the medial aspect of the right hemidiaphragm is unchanged from prior study,,,,,,,,,,,,,,
no pleural effusions or pulmonary edema,1.0,,,,,0.0,,,,,0.0,,,
there is no pneumothorax,1.0,,,,,,,,,0.0,,,,
the inferior sternotomy wire is fractured but unchanged,,,,,,,,,,,,,1.0,
surgical clips and vascular markers in the thorax are related to prior cabg surgery  .,1.0,,,,,,,,,,,,,1.0
lateral view somewhat limited due to overlying motion artifact,1.0,,,,,,,,,,,,,
the lungs are low in volume,1.0,,,,,,,,,,,,,
there is no focal airspace consolidation to suggest pneumonia,1.0,,,,,,0.0,0.0,,,,,,
a 12-cm calcified granuloma just below the medial aspect of the right hemidiaphragm is unchanged from prior study,,,,,,,,,,,,,,
no pleural effusions or pulmonary edema,1.0,,,,,0.0,,,,,0.0,,,
there is no pneumothorax,1.0,,,,,,,,,0.0,,,,
the inferior sternotomy wire is fractured but unchanged,,,,,,,,,,,,,1.0,
surgical clips and vascular markers in the thorax are related to prior cabg surgery  .,1.0,,,,,,,,,,,,,1.0
frontal and lateral radiographs of the chest redemonstrate a round calcified pulmonary nodule in the posterior right lung base unchanged from multiple priors and consistent with prior granulomatous disease,,,,1.0,,,,,,,,,,
a known enlarged right hilar lymph node seen on ct of likely accounts for the increased opacity at the right hilum,,,,,1.0,,,,,,,,,
a known right mediastinal lymph node conglomerate accounts for the fullness at the right paratracheal region,1.0,,,,,,,,,,,,,
no pleural effusion pneumothorax or focal consolidation is present,,,,,,,-1.0,,,-1.0,0.0,,,
the patient is status post median sternotomy and cabg with wires intact,1.0,,,,,,,,,,,,,
the cardiac silhouette is normal in size,1.0,,0.0,,,,,,,,,,,
the mediastinal and hilar contours are unchanged from the preceding radiograph  .,,-1.0,,,,,,,,,,,,
frontal and lateral radiographs of the chest redemonstrate a round calcified pulmonary nodule in the posterior right lung base unchanged from multiple priors and consistent with prior granulomatous disease,,,,1.0,,,,,,,,,,
a known enlarged right hilar lymph node seen on ct of likely accounts for the increased opacity at the right hilum,,,,,1.0,,,,,,,,,
a known right mediastinal lymph node conglomerate accounts for the fullness at the right paratracheal region,1.0,,,,,,,,,,,,,
no pleural effusion pneumothorax or focal consolidation is present,,,,,,,-1.0,,,-1.0,0.0,,,
the patient is status post median sternotomy and cabg with wires intact,1.0,,,,,,,,,,,,,
the cardiac silhouette is normal in size,1.0,,0.0,,,,,,,,,,,
the mediastinal and hilar contours are unchanged from the preceding radiograph  .,,-1.0,,,,,,,,,,,,
frontal and lateral radiographs of the chest redemonstrate a round calcified pulmonary nodule in the posterior right lung base unchanged from multiple priors and consistent with prior granulomatous disease,,,,1.0,,,,,,,,,,
a known enlarged right hilar lymph node seen on ct of likely accounts for the increased opacity at the right hilum,,,,,1.0,,,,,,,,,
a known right mediastinal lymph node conglomerate accounts for the fullness at the right paratracheal region,1.0,,,,,,,,,,,,,
no pleural effusion pneumothorax or focal consolidation is present,,,,,,,-1.0,,,-1.0,0.0,,,
the patient is status post median sternotomy and cabg with wires intact,1.0,,,,,,,,,,,,,
the cardiac silhouette is normal in size,1.0,,0.0,,,,,,,,,,,
the mediastinal and hilar contours are unchanged from the preceding radiograph  .,,-1.0,,,,,,,,,,,,
frontal and lateral views of the chest were obtained,1.0,,,,,,,,,,,,,
rounded calcified nodule in the region of the posterior right lung base is seen and represents calcified granuloma on cts dating back to likely secondary to prior granulomatous disease,,,,,,,,,,,,,,
previously seen unk lymph node conglomerate and right hilar lymph nodes are better unk on ct,1.0,,,,,,,,,,,,,
no focal consolidation is seen,1.0,,,,,,0.0,,,,,,,
there is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
cardiac and mediastinal silhouettes are stable with possible slight decrease in right paratracheal prominence  .,,-1.0,,,,,,,,,,,,
frontal and lateral views of the chest were obtained,1.0,,,,,,,,,,,,,
rounded calcified nodule in the region of the posterior right lung base is seen and represents calcified granuloma on cts dating back to likely secondary to prior granulomatous disease,,,,,,,,,,,,,,
previously seen unk lymph node conglomerate and right hilar lymph nodes are better unk on ct,1.0,,,,,,,,,,,,,
no focal consolidation is seen,1.0,,,,,,0.0,,,,,,,
there is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
cardiac and mediastinal silhouettes are stable with possible slight decrease in right paratracheal prominence  .,,-1.0,,,,,,,,,,,,
in comparison with the study of there is no evidence of pneumothorax,1.0,,,,,,,,,0.0,,,,
continued low lung volumes with substantial mass in the right paratracheal region  .,,,,1.0,,,,,,,,,,
the et tube is 35 cm above the carina,1.0,,,,,,,,,,,,,1.0
the ng tube tip is off the film at least in the stomach,1.0,,,,,,,,,,,,,1.0
right ij cordis tip is in the proximal svc,1.0,,,,,,,,,,,,,
the heart size is moderately enlarged,,,1.0,,,,,,,,,,,
there is ill-defined vasculature and alveolar infiltrate right greater than left,,,,,1.0,,,,,,,,,
this is markedly increased compared to the film from two hours prior and likely represents fluid overload  .,1.0,,,,,,,,,,,,,
left picc tip is seen terminating in the region of the distal left brachiocephalic vein,1.0,,,,,,,,,,,,,1.0
tracheostomy tube is in unchanged standard position,,,,,,,,,,,,,,1.0
the heart is moderately enlarged,,,1.0,,,,,,,,,,,
marked calcification of the aortic knob is again present,,,,,,,,,,,,,,
mild pulmonary vascular congestion is similar,,,,,,-1.0,,,,,,,,
bibasilar streaky airspace opacities are minimally improved,,,,,1.0,,,,,,,,,
previously noted left pleural effusion appears to have resolved,,,,,,,,,,,1.0,,,
no pneumothorax is identified,1.0,,,,,,,,,0.0,,,,
percutaneous gastrostomy tube is seen in the left upper quadrant  .,1.0,,,,,,,,,,,,,1.0
single ap portable view of the chest,1.0,,,,,,,,,,,,,
no prior,1.0,,,,,,,,,,,,,
the lungs are clear of large confluent consolidation,1.0,,,,,,0.0,,,,,,,
cardiac silhouette enlarged but could be accentuated by positioning and relatively low inspiratory effort,,,1.0,,,,,,,,,,,
calcifications noted at the aortic arch,,,,,,,,,,,,,,
degenerative changes noted at the glenohumeral joints bilaterally,,,,,,,,,,,,,,
osseous and soft tissue structures otherwise unremarkable  .,1.0,,,,,,,,,,,,,
as compared to the previous radiograph there is marked improvement in extent and severity of the pre-existing parenchymal opacities,,,,,1.0,,,,,,,,,
unchanged borderline size of the cardiac silhouette,,,1.0,,,,,,,,,,,
no pleural effusions,1.0,,,,,,,,,,0.0,,,
the nasogastric tube has been removed,1.0,,,,,,,,,,,,,0.0
endotracheal tube and the right internal jugular vein introduction sheath are in constant position  .,1.0,,,,,,,,,,,,,1.0
indwelling support and monitoring devices are unchanged in position and cardiomediastinal contours are stable allowing for positional differences,,-1.0,,,,,,,,,,,,1.0
left retrocardiac atelectasis has improved but an area of confluent increased opacity in the right infrahilar region is new,,,,,1.0,,,,1.0,,,,,
the latter may reflect atelectasis aspiration or developing infection  .,,,,,,,,-1.0,1.0,,,,,
